unit,icha11_hf,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
EUR_HAB,HF11,FR	214.12 	207.02 	197.86 	193.66 	192.12 	186.36 	180.14 	172.63 	170.11 	167.84 	148.67 	136.53 	126.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,HR	35.68 	53.56 	18.43 	20.66 	20.31 	18.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,HU	78.51 	71.54 	70.36 	89.80 	73.29 	66.25 	64.72 	61.65 	60.68 	64.66 	74.11 	72.00 	58.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,IE	3380.36 	3202.62 	3055.18 	2933.78 	2860.36 	2836.00 	2921.11 	2877.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,IS	4348.85 	4317.07 	3699.56 	3114.92 	2725.88 	2458.20 	2340.44 	2254.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,IT	1868.28 	1831.24 	1811.37 	1791.34 	1784.86 	1774.36 	1812.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,LI	1404.46 	1301.33 b	1308.12 	1295.17 	1102.45 	1175.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,LT	89.72 	86.73 	85.50 	83.16 	78.02 	63.90 	64.50 	64.95 	63.85 	67.49 	66.69 	44.76 	25.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,LU	227.57 	237.64 	231.11 	219.19 	215.08 	181.23 	177.36 b	342.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,LV	560.60 	475.15 	443.64 	411.93 	386.32 	367.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
